Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
00:59:00 01/01/2018,-0.1874,-0.2246,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-0.03316,-1.99,-0.03316,-0.03316,-1.99,-0.03316,-0.03316,
01:59:00 01/01/2018,-0.5525,-0.505,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-0.1264,-7.582,-0.1264,-0.1264,-7.582,-0.1264,-0.1264,
02:59:00 01/01/2018,-0.1589,-0.1755,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-0.0376,-2.256,-0.0376,-0.0376,-2.256,-0.0376,-0.0376,
03:59:00 01/01/2018,-0.1332,-0.149,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-0.09707,-5.824,-0.09707,-0.09707,-5.824,-0.09707,-0.09707,
04:59:00 01/01/2018,-0.2364,-0.2008,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-0.1826,-10.95,-0.1826,-0.1826,-10.95,-0.1826,-0.1826,
05:59:00 01/01/2018,0.007509,-0.1612,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-9.018,-0.1503,-0.1503,-9.018,-0.1503,-0.1503,
06:59:00 01/01/2018,0.1726,-0.03002,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-0.1973,-11.84,-0.1973,-0.1973,-11.84,-0.1973,-0.1973,
07:59:00 01/01/2018,1.905,2.074,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-0.3739,-22.43,-0.3739,-0.3739,-22.43,-0.3739,-0.3739,
08:59:00 01/01/2018,8.68,9.036,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-0.3257,-19.54,-0.3257,-0.3257,-19.54,-0.3257,-0.3257,
09:59:00 01/01/2018,43.96,44.6,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-0.1056,-6.338,-0.1056,-0.1056,-6.338,-0.1056,-0.1056,
10:59:00 01/01/2018,58.12,58.94,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,0.1208,7.245,0.1208,0.1208,7.245,0.1208,0.1208,
11:59:00 01/01/2018,37.72,38.32,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-0.1385,-8.308,-0.1385,-0.1385,-8.308,-0.1385,-0.1385,
12:59:00 01/01/2018,17.21,17.54,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-0.3343,-20.06,-0.3343,-0.3343,-20.06,-0.3343,-0.3343,
13:59:00 01/01/2018,23.39,23.59,0.04131,0.04131,0.04131,0.04131,0.04131,0.04131,0.04131,0.04131,0.04131,0.04131,0.04131,2.479,0.04131,0.04131,2.479,0.04131,0.04131,
14:59:00 01/01/2018,11.61,11.93,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-0.1887,-11.32,-0.1887,-0.1887,-11.32,-0.1887,-0.1887,
15:59:00 01/01/2018,-1.098,-0.885,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-0.3492,-20.95,-0.3492,-0.3492,-20.95,-0.3492,-0.3492,
16:59:00 01/01/2018,-1.851,-1.552,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-0.5022,-30.13,-0.5022,-0.5022,-30.13,-0.5022,-0.5022,
17:59:00 01/01/2018,-1.756,-1.469,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-0.3733,-22.4,-0.3733,-0.3733,-22.4,-0.3733,-0.3733,
